"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.7125715042578","65.8224644476678","65.7974694502001","65.7236739618377","65.606739522042","65.4713223302588","65.440926451169","65.3995868090772","65.3181465504747","65.5740679309178","65.7442680740071","65.9510809211773","65.9126859217607","65.6609814206302","65.6996841621477","65.1028482201743","64.6054785830515","64.0035845208466","63.7544787908613","63.466558399281","62.8718991820091","62.182627388506","61.8569448940616","61.2661230750255","60.7299965640441","60.393938944564","60.0188168860452","59.6149055719673","59.3073845566742","","",
"Afganistán","AFG","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.4300003051758","63.6500015258789","64.4100036621094","64.4400024414063","64.3000030517578","64.6800003051758","64.9800033569336","65.1999969482422","65.4599990844727","65.8399963378906","66.2900009155273","64.4199981689453","63.7000007629395","63.2700004577637","62.1500015258789","61.2799987792969","60.1399993896484","59.2900009155273","56.8899993896484","54.5800018310547","53.560001373291","51.4000015258789","49.8199996948242","48.4099998474121","47.0699996948242","45.810001373291","43.9900016784668","43.1300010681152","42.5","","",
"","AFW","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.3158928378452","59.1938294992727","59.0983720289923","58.9314628531143","58.7307530931316","58.4279721723385","58.0689625205564","57.6918039688616","57.3591100419349","56.960499816705","56.4112389731262","55.6613361048053","55.0399409010779","54.3454942028896","53.6981996709065","53.0503129657279","52.263973167847","51.3825274681744","50.4924847483731","49.5089749078938","48.5632282250342","47.4561799546543","46.3872172200946","45.053819874867","43.8619306767788","43.4866696036497","42.7950468333828","42.1659221435159","41.5415984883311","","",
"Angola","AGO","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.8300018310547","39.9000015258789","40.2099990844727","40.0900001525879","39.560001373291","38.9799995422363","38.5400009155273","38.1599998474121","37.8600006103516","37.5","37.2200012207031","36.560001373291","36.4500007629395","36.1699981689453","38.1100006103516","40.2099990844727","42.2099990844727","44.3699989318848","46.5099983215332","48.8800010681152","51.2200012207031","51.2299995422363","51.1800003051758","51.1399993896484","51.1599998474121","51.1500015258789","50.9900016784668","50.9099998474121","50.7299995422363","","",
"Albania","ALB","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.9099998474121","58.1100006103516","57.6199989318848","57.0800018310547","56.3600006103516","55.939998626709","56.060001373291","55.25","54.0299987792969","52.8199996948242","51.310001373291","50.1599998474121","49.2700004577637","48.3400001525879","47.3800010681152","46.2999992370605","45.5499992370605","44.6599998474121","44.0499992370605","42.0800018310547","45.3899993896484","46","44.2000007629395","42.2599983215332","41.2799987792969","40.0400009155273","38.0800018310547","37.2900009155273","36.4199981689453","","",
"Andorra","AND","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3226977555198","34.0476197938155","33.1650514506514","32.9347441550868","32.3488524900782","31.6803303890728","31.0130220588314","30.2644519604896","29.6738760698973","29.917578844976","29.1594607551928","28.4041369727402","28.4490096955725","28.5245147923081","27.6182099095577","26.7961629075797","26.1805729358066","25.3157169470489","24.186839434707","23.0641781121397","22.7151577198323","21.8617581511301","21.7432056137567","21.5417454058367","20.9014130176987","20.3962231191909","19.8371321744595","18.6624050708851","18.0222096749582","","",
"Emiratos Árabes Unidos","ARE","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46000003814697","8.36999988555908","8.23999977111816","8.13000011444092","8","7.98999977111816","7.96000003814697","7.92000007629395","7.92000007629395","7.90000009536743","7.25","6.67000007629395","6.1100001335144","5.63000011444092","5.19000005722046","4.78000020980835","4.3899998664856","4.03999996185303","3.6800000667572","3.38000011444092","3.07999992370605","2.78999996185303","2.50999999046326","2.25","2.00999999046326","1.80999994277954","1.62000000476837","1.46000003814697","1.38999998569489","","",
"Argentina","ARG","Empleos en agricultura (% del total de empleos)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.340000003576279","0.400000005960464","0.449999988079071","0.449999988079071","0.620000004768372","0.759999990463257","0.800000011920929","0.759999990463257","0.740000009536743","0.670000016689301","0.829999983310699","0.980000019073486","1.39999997615814","1.5","1.27999997138977","1.04999995231628","1.12000000476837","1.20000004768372","1.23000001907349","1.26999998092651","0.639999985694885","0.620000004768372","0.620000004768372","0.550000011920929","0.259999990463257","0.129999995231628","0.0599999986588955","0.100000001490116","0.0599999986588955","","",
