labels,Country Name,Net Migration,PIB per Capita,Total Unemployment (%),human_development_index,Fecha_Numerico,country_code_c
1,Bangladesh,-341152.0,128637938711.386,3.77099990844727,0.561,734138,18
1,Bangladesh,-344054.0,351238474244.667,4.43800020217896,0.644,737060,18
1,Bangladesh,-347605.0,53991289844.3291,3.61700010299683,0.492,730486,18
1,Bangladesh,-424718.0,53369787318.6245,3.26999998092651,0.485,730120,18
1,Bangladesh,-451611.0,54724081490.5102,3.89800000190735,0.499,730851,18
1,Bangladesh,-462265.0,115279077465.226,3.38000011444092,0.553,733773,18
1,Bangladesh,-533925.0,60158929188.2556,4.32000017166138,0.505,731216,18
1,Bangladesh,-535175.0,65108544250.0425,4.26100015640259,0.511,731581,18
1,Bangladesh,-715970.0,69442943089.4309,4.25,0.518,731947,18
1,Bangladesh,-740788.0,102477791472.39,5.0,0.541,733408,18
1,Bangladesh,-923456.0,79611888213.148,4.1269998550415,0.527,732677,18
1,Bangladesh,-1146688.0,71819083683.7403,3.58999991416931,0.524,732312,18
1,Bangladesh,-1390782.0,91631278239.3237,4.56699991226196,0.53,733042,18
1,Afganistán,1327074.0,3854235264.37171,11.2569999694824,0.362,730851,2
1,Afganistán,418796.0,18190410820.6235,11.0539999008179,0.456,734138,2
1,Afganistán,388632.0,4539500884.0479,11.1409997940063,0.376,731216,2
1,Afganistán,255611.0,20550582746.8448,11.1420001983643,0.479,735234,2
1,Afganistán,252185.0,6226199249.32211,11.2170000076294,0.4,731947,2
1,Afganistán,221000.0,10249767311.213,11.0930004119873,0.43,733042,2
1,Afganistán,166821.0,20143442150.971,11.710000038147,0.483,737425,2
2,Australia,235719.0,1546892142709.84,5.21999979019165,0.93,734503,11
2,Canadá,195649.0,1805749878439.94,6.90999984741211,0.925,735234,33
2,Canadá,195181.0,1645423407568.36,9.46000003814697,0.931,737425,33
2,Canadá,193282.0,1026690238278.25,7.19000005722046,0.901,731581,33
2,Canadá,182430.0,895540646634.787,7.57000017166138,0.897,731216,33
2,Australia,278516.0,1055642793196.06,4.23000001907349,0.919,733042,11
2,Australia,251231.0,854427259166.209,4.38000011444092,0.915,732677,11
2,Australia,244875.0,1326516328531.56,5.59000015258789,0.937,736330,11
2,Australia,242184.0,1206535157956.03,5.71000003814697,0.935,735964,11
2,Australia,235881.0,928626859078.192,5.55999994277954,0.921,733408,11
2,Australia,235860.0,1392227864397.08,5.15999984741211,0.941,737060,11
2,Australia,220307.0,1428288504767.07,5.30000019073486,0.941,736695,11
2,Canadá,202483.0,1319264809590.97,6.32000017166138,0.907,732312,33
2,Australia,214564.0,1576380424746.08,5.65999984741211,0.929,734869,11
2,Australia,209466.0,1350615691821.28,6.05000019073486,0.933,735599,11
2,Australia,198120.0,1467545212521.8,6.07999992370605,0.931,735234,11
2,Australia,197748.0,1398405797101.45,5.07999992370605,0.926,734138,11
2,Australia,192139.0,747906558849.955,4.78000020980835,0.914,732312,11
2,Australia,166833.0,1148610059015.24,5.21000003814697,0.923,733773,11
2,Australia,132109.0,695328522026.763,5.03000020980835,0.911,731947,11
2,Australia,117929.0,1326901059123.21,6.46000003814697,0.947,737425,11
2,Australia,113907.0,379358162498.658,6.73999977111816,0.9,730486,11
2,Australia,109375.0,415851284305.721,6.28000020980835,0.896,730120,11
2,Canadá,201617.0,744773415931.587,6.82999992370605,0.89,730120,33
2,Canadá,204710.0,1173108598778.68,6.76000022888184,0.903,731947,33
2,España,-94869.0,1371820537888.62,24.4400005340576,0.884,735234,60
2,Canadá,391914.0,1742015045482.31,5.65999984741211,0.937,737060,33
2,España,-254292.0,1355579535912.55,26.0900001525879,0.88,734869,60
2,China,-33649.0,14687673892882.0,5.0,0.764,737425,37
2,China,-137444.0,9570406235659.64,4.59000015258789,0.717,734869,37
2,China,-153054.0,11233276536737.2,4.53000020980835,0.74,735964,37
2,China,-155379.0,11061553079876.4,4.63000011444092,0.733,735599,37
2,China,-180592.0,12310409370892.8,4.44000005722046,0.747,736330,37
2,China,-198432.0,10475682920594.5,4.6100001335144,0.725,735234,37
2,China,-296674.0,13894817549374.2,4.28000020980835,0.755,736695,37
2,China,-302609.0,14279937500606.5,4.51999998092651,0.762,737060,37
2,Canadá,417974.0,1725329192783.02,5.82999992370605,0.933,736695,33
2,Canadá,361274.0,1649265644244.09,6.34000015258789,0.931,736330,33
2,Canadá,206028.0,760649334098.005,7.65999984741211,0.894,730851,33
2,Canadá,320494.0,1527994741907.43,7.0,0.928,735964,33
